Epoch,Loss,Train AUC,Validation AUC,Test AUC,Precision,Recall,F1 Score
28,0.8690005540847778,0.7560238810149988,0.7464020588866369,0.7483819678206455,0.656181006359772,0.7601698756948918,0.7043579954061207
29,0.8652825355529785,0.7618554318986017,0.749442660214803,0.7513546420580458,0.6601429466252401,0.7593825304798034,0.7062937994026194
30,0.8615949749946594,0.7673879164741668,0.7521662971293943,0.7540175435020032,0.6635890626043963,0.7582897907570444,0.7077857726646134
31,0.8583125472068787,0.7724632587510195,0.7546105873770161,0.7564062675860375,0.6668096108973954,0.7568248514780617,0.7089714362344106
32,0.8552243113517761,0.7769005622443551,0.7568060568616635,0.7585480777653072,0.6696980720261914,0.7554982940853673,0.7100154940030808
33,0.8522184491157532,0.7812661737031594,0.7587801531543317,0.7604737231195274,0.6726034684540909,0.7541574213251259,0.7110496243307689
34,0.8492567539215088,0.7853396930289476,0.7605603013783582,0.7622115766771845,0.6752481349751545,0.7528308639324315,0.7119320950885363
35,0.8467016816139221,0.7888072618480618,0.7621673897441528,0.7637800783130917,0.6774260133653276,0.7516999498962136,0.7126329146564067
36,0.8442567586898804,0.7920568399352843,0.7636212430692968,0.7652029468785523,0.6796191990048032,0.7507933099515663,0.713435522595828
37,0.8418920636177063,0.7952866274694196,0.7649437563584303,0.7664946594287304,0.6814333914461416,0.7497864624340896,0.7139777031064339
38,0.8397953510284424,0.7978093446545643,0.7661464825767818,0.7676699848074606,0.6833108372882832,0.7488655071218954,0.7145878629890605
39,0.8376325368881226,0.8004548504821136,0.7672427380265064,0.7687446672987694,0.6850713065065275,0.7479540953880658,0.7151330167029377
40,0.8356739282608032,0.8029920658616085,0.768249448057161,0.7697309152131004,0.6866093743149033,0.7472383270107127,0.7156420304591726
41,0.8339143395423889,0.8050523582964897,0.7691741515120503,0.77063958893264,0.6878574348649825,0.746689571254742,0.7160671221405135
42,0.8323067426681519,0.8070605499772943,0.7700250002762159,0.7714770463564564,0.6891270516556525,0.7458974542504712,0.7163893179099621
43,0.830718457698822,0.8087759352379378,0.7708141877836656,0.7722502898696486,0.69027784529581,0.7453248395485887,0.7167459767530435
44,0.8292845487594604,0.8104285726502204,0.7715466604908727,0.7729686887121652,0.6912683294201036,0.7445899840145063,0.7169390872856339
45,0.8277713060379028,0.8122371531445509,0.772229820440976,0.7736367680114794,0.692176221466559,0.7440221411018061,0.7171633776191451
46,0.826607882976532,0.8136667833045405,0.7728692721661404,0.7742604947280682,0.6932367687030949,0.7435974518645766,0.7175345455550082
47,0.8253052830696106,0.8149586124891266,0.7734691320100505,0.774844596667923,0.6941084179466379,0.7430916422112471,0.7177652972098479
48,0.8241879343986511,0.8162005314734955,0.7740325435806779,0.7753909725600947,0.6948196891099186,0.742686040130747,0.7179559329930553
49,0.8233832120895386,0.8169376609623071,0.7745660625993837,0.7759091343039594,0.6955477966980647,0.7424188199365352,0.718219419644918
